assureur,count,mean
Zen'Up,245,4.436734693877551
APRIL Moto,1023,3.946236559139785
L'olivier Assurance,4288,3.829757462686567
AMV,688,3.691860465116279
MGP,446,3.5896860986547083
Santiane,658,3.4680851063829787
Direct Assurance,5896,3.314789687924016
GMF,997,2.8866599799398194
Néoliane Santé,861,2.7955865272938443
Génération,212,2.75
Assur Bon Plan,51,2.588235294117647
APRIL,283,2.420494699646643
Matmut,474,2.0084388185654007
Eurofil,289,1.9688581314878892
Pacifica,553,1.9312839059674503
SantéVet,96,1.9166666666666667
Assur O'Poil,110,1.9
MAAF,612,1.84640522875817
MAIF,591,1.8358714043993232
MACIF,829,1.8069963811821472
